,authorDisplayName,publishedAt,likeCount,viewerRating,totalReplyCount,authorChannelURL,comment
0,Hello? How are you?,2019-12-17T21:51:55.000Z,1,none,0,http://www.youtube.com/channel/UCunEtr2M_AJjZYCceH5skCA,"I feel like whenever anyone gets a new MacBook Pro they always get it space grey...or is it just me?
I should be getting my new Pro soon and I’m SO excited!
Oh and I’m like 3 years late, watching in December 2019.
Can’t wait for Christmas!"
1,KAYLA ._BAILEY,2019-12-14T02:23:04.000Z,0,none,0,http://www.youtube.com/channel/UCs9r1nONf_QIBlDy1cqVGJA,Do u guys wanna se it? I mean... yeah!
2,Angel Katte,2019-12-03T10:22:00.000Z,1,none,0,http://www.youtube.com/channel/UCERknVfrKEYvjkrAlEXXIhA,When the guy said “ who watches this?” Well 2 million people do!!!!!
3,Akwadeama A patato,2019-11-19T01:52:53.000Z,0,none,0,http://www.youtube.com/channel/UCLasQ7tynID4Njj9ZSUpXdg,Do you smell everything ?
4,Ernande Silva,2019-11-13T22:40:50.000Z,0,none,0,http://www.youtube.com/channel/UCWILdlBYKkNQFNIXND3RvLg,kkkkkkkkkkkkkkkkkk.
5,Ernande Silva,2019-11-13T22:37:59.000Z,1,none,0,http://www.youtube.com/channel/UCWILdlBYKkNQFNIXND3RvLg,"eu gostaria muito,de um desse?"
6,Ernande Silva,2019-11-13T22:35:42.000Z,1,none,0,http://www.youtube.com/channel/UCWILdlBYKkNQFNIXND3RvLg,uau?
7,Ernande Silva,2019-11-13T22:34:12.000Z,1,none,0,http://www.youtube.com/channel/UCWILdlBYKkNQFNIXND3RvLg,eu queria tanto.
8,Ernande Silva,2019-11-13T22:31:51.000Z,0,none,0,http://www.youtube.com/channel/UCWILdlBYKkNQFNIXND3RvLg,este e o bicho irmao
9,Ernande Silva,2019-11-13T22:31:19.000Z,0,none,0,http://www.youtube.com/channel/UCWILdlBYKkNQFNIXND3RvLg,uau?
10,Randy Major,2019-11-11T12:37:58.000Z,0,none,0,http://www.youtube.com/channel/UCKTcg1h0gkYsvEZ87tuYZFQ,Hello Justine I’m a tech nerd like you!!!!
11,Barbara orcoran1964 Corcoran,2019-11-05T19:38:14.000Z,10,none,0,http://www.youtube.com/channel/UCHRxcL0CSaiNx7TpmV7x43A,Who's watching this in 2019 ... I am
12,Lisa Brace,2019-11-04T03:07:53.000Z,0,none,0,http://www.youtube.com/channel/UCBEfbWkfEiUNoace2pQqzIg,"1 like equals 10 apple stickers 
edit:thanks for the heart"
13,queen590,2019-11-03T14:23:24.000Z,1,none,0,http://www.youtube.com/channel/UC3lPeV5_L8nKhDsRH8O4bgw,Maybe if u could just take it down a notch it’s tooo much
14,queen590,2019-11-03T14:10:58.000Z,1,none,0,http://www.youtube.com/channel/UC3lPeV5_L8nKhDsRH8O4bgw,Overreacting as per us🤣💩
15,Kavan Atherton,2019-11-01T09:04:39.000Z,2,none,0,http://www.youtube.com/channel/UC7_HpsoyIse5w18gDHlE5DA,They is
16,Kavan Atherton,2019-11-01T09:03:37.000Z,2,none,0,http://www.youtube.com/channel/UC7_HpsoyIse5w18gDHlE5DA,They is
17,Kavan Atherton,2019-11-01T09:03:25.000Z,1,none,0,http://www.youtube.com/channel/UC7_HpsoyIse5w18gDHlE5DA,They is
18,Saioria,2019-10-31T14:42:08.000Z,2,none,0,http://www.youtube.com/channel/UCQgTz21pgeyjOWxOIKc3Bpg,I’m getting my MacBook Pro 15” I’m so excited!!
19,Hari Setyadi,2019-10-28T01:41:03.000Z,1,none,0,http://www.youtube.com/channel/UC-hHWTKx_mkg1f2CRULOI4w,Barbar
20,Julio Lima,2019-10-28T00:42:02.000Z,4,none,0,http://www.youtube.com/channel/UC9zjxaiTspK0rwRX9J5zqCw,Who want a Mac book like for I can know
21,VIviana Hernandez,2019-10-27T14:38:39.000Z,1,none,0,http://www.youtube.com/channel/UCpjKGhGx00JH--wLydU6baQ,you should do a giveaway
22,Britney Escobar,2019-10-26T17:53:55.000Z,1,none,0,http://www.youtube.com/channel/UC0hMRp4SYeX2nB1uvPLILlw,Hi
23,Divya Panicker,2019-10-26T17:29:03.000Z,7,none,0,http://www.youtube.com/channel/UCRhfaYL0ejdPJ10v-zhuwtg,Anyone watching in October 2019
24,Julio Lima,2019-10-25T00:14:03.000Z,0,none,0,http://www.youtube.com/channel/UC9zjxaiTspK0rwRX9J5zqCw,It not live
25,tereasa carter,2019-10-24T00:37:44.000Z,0,none,0,http://www.youtube.com/channel/UCOQssXGBwyvjP0854JcS8zw,Justine!!!
26,Family Patel,2019-10-22T21:43:34.000Z,0,none,0,http://www.youtube.com/channel/UCSPVFc23vwhH2eqNBX8xPmA,hello
27,Family Patel,2019-10-22T21:43:23.000Z,0,none,0,http://www.youtube.com/channel/UCSPVFc23vwhH2eqNBX8xPmA,use a knife
28,Arron Chauhan,2019-10-19T06:16:36.000Z,1,none,2,http://www.youtube.com/channel/UCoCOQp03EpGKmbQ73ZrLkDQ,I want a MacBook pro
29,Kay Kay,2019-10-18T08:51:18.000Z,1,none,0,http://www.youtube.com/channel/UCU4ogafeaYWzkdGdtnNnUlg,Donate me that other macbook.
30,Justina Globiene,2019-10-07T17:52:56.000Z,0,none,0,http://www.youtube.com/channel/UCQhwSvckk-wopFeHlnXIJgA,The fingerprint sensor is the power button and unlock code
31,tereasa carter,2019-10-01T22:38:30.000Z,0,none,0,http://www.youtube.com/channel/UCOQssXGBwyvjP0854JcS8zw,I don't have a MacBook
32,Alanys Carballo,2019-09-26T01:54:00.000Z,0,none,1,http://www.youtube.com/channel/UCIpBwQvFA1uqkHbc68MYI-w,I’m gonna get one next year and it feels like foreverrr😭😭😭😭
33,Alayda Jade,2019-09-24T13:49:50.000Z,0,none,0,http://www.youtube.com/channel/UCq6nel23_TzcsskAwjwkn8Q,Hey
34,Chris Lincoln,2019-09-23T22:07:19.000Z,0,none,0,http://www.youtube.com/channel/UCIUikLhY3XMq-_eVH6Tlukg,Sexy girl
35,Anthony Patterson,2019-09-18T04:56:40.000Z,0,none,0,http://www.youtube.com/channel/UCPcAuG6YbJwitIT-87pBRWA,Can you get me a  Mac book pro plz!!!!
36,Dimitry Bretoux,2019-09-16T21:32:43.000Z,0,none,0,http://www.youtube.com/channel/UChIVVJqgHd25qjNdwqnNMAA,"i like the way you say "" ohh !! baby that s so good!!!"
37,Twilightwolves 2006,2019-09-15T20:25:16.000Z,1,none,0,http://www.youtube.com/channel/UC3OV0nx8b4xS5SHd0YJzDgw,Omg when she said hey siri my Siri turned on XD
38,AleenaVlogz 04,2019-09-15T16:14:09.000Z,0,none,0,http://www.youtube.com/channel/UCUOA4szKr4dvnNWxKUxUjZg,Hi person scrolling through the comments ✋🏻
39,MiNi mOcHi,2019-09-08T05:44:04.000Z,1,none,0,http://www.youtube.com/channel/UCHZtZSfCGZ2WGfTr8L0dz4g,2019 anyone? lol
40,Prakash NB,2019-09-05T08:39:54.000Z,1,none,0,http://www.youtube.com/channel/UCTs6BpN3Z529EhkqrAupFZw,"This woman screams way too much. Imagine living with her lol. ""IM BRUSHING MY TEETH OH MY GOD IM BRUSHING MY TEETH"" like calm down lol no hate"
41,Diego Alvarez,2019-09-03T15:02:25.000Z,0,none,0,http://www.youtube.com/channel/UCPfXQXmhrLtSmDZcCQ1Wolw,"What a good review and unboxing of that amazon Laptop, thumbs up! 👍 

Here in Mexico the Apple products such as the iPhone and the MacBooks are very expansive and I have to save for around 8 months for buy a new Laptop, actually, I’m studying architecture and I have 2 months using the MacBook Pro 13’ (I have no money for reach the 15’ inches, sad). But I am very amazed of this laptop, no complaint for it."
42,Vaishnavi Vaishnavi,2019-09-03T10:10:07.000Z,1,none,0,http://www.youtube.com/channel/UCCvLqOoI7NTRuuPeO26vKDA,She is fantastic in making reviews specially for apple products.
43,Rami Abdul-Azim,2019-08-24T16:05:59.000Z,9,none,0,http://www.youtube.com/channel/UCYFD81yfKaDNFkS62PV_8Lw,"nobody:

Justine: I’m upset there isn’t a smell"
44,Molly H,2019-08-23T21:59:59.000Z,4,none,0,http://www.youtube.com/channel/UCXoexyC7f2isEJVRboT6z8g,Jeeeez I love Justine as a YouTubed but did you hear how loud she was typing lol🤣 (who’s watching in 2019)
45,Shuhuan Wang,2019-08-21T11:05:19.000Z,0,none,0,http://www.youtube.com/channel/UCnOQ2wtChML4knGnqC-V6WQ,...
